年度,臺灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市
1998,646343,681707,908137,653989,651665,550060,607873,622369,625471,578424,556873,506247,459407,447043,508399,401379,573757,397552,639052,718282,615946
1999,655282,702709,931758,669567,661184,539802,614883,614020,631867,585753,512199,531000,497392,484947,499116,444314,546797,408405,639150,738726,577328
2000,662722,688385,972707,710859,636780,563150,590730,564530,669806,562446,548241,557775,460321,541707,524732,440341,598494,428628,640137,799936,619154
2001,657872,693068,955897,693702,661721,552940,582764,547440,643622,596454,522152,498200,506641,502445,500335,429335,577981,390512,641952,850319,634707
2002,672619,721828,951978,728084,667721,572884,583099,556487,659592,608569,587789,509828,503445,515759,527833,446254,540780,421645,640591,848037,659543
2003,666372,706525,914067,707342,673311,583579,588440,610276,666904,595922,598416,532985,497345,517287,532473,402236,547558,453132,630493,844370,599717
2004,692648,740753,925845,738518,704672,619386,620203,565676,707628,590735,619357,565920,543581,529047,519356,455738,561093,529440,700769,923578,554657
2005,701076,768576,937499,751917,687530,568311,643684,646475,852011,591475,609437,602360,488415,539274,553520,404469,532648,456221,712080,917954,615552
2006,713024,747871,945344,731111,732742,641717,644233,645262,731722,652827,640150,623333,568457,571053,573991,445629,518689,518374,670004,971643,595967
2007,716094,751125,963713,746550,745960,650153,644730,669589,724042,637262,627431,592259,501511,533186,593006,518103,566608,474657,651949,933566,586020
2008,705413,751211,961630,748242,717059,639569,644122,630350,852056,586994,596368,579178,459425,522575,542416,425560,537914,504364,643786,906743,564099
2009,705680,749608,952723,742050,680219,624398,656155,639174,868677,608460,590455,650486,482076,521999,547237,483770,551512,519810,701587,956498,549580
2010,702292,722847,988691,743251,688348,588477,652826,652305,867863,594962,578094,637965,466544,552876,553622,396957,577696,513083,730198,940387,534451
2011,729010,745901,996646,822232,726320,630810,686354,602332,907729,656067,579670,629379,491428,520344,558868,435401,554335,486598,718329,982122,616177
2012,727693,741651,973747,815889,717894,627337,694285,698346,898118,629119,597253,648629,487669,572225,553602,464577,566694,492419,660931,935237,686120
2013,747922,750687,1001798,832626,781899,654843,709823,668544,858781,621582,577658,584190,522661,616718,545713,478531,554525,514077,719698,1044462,788432
2014,755169,760951,1014262,821381,786285,674797,722305,738296,900922,649705,594464,561412,518443,567649,547989,494037,547353,543641,692416,1036179,726313
2015,759647,765476,1005898,821563,777046,675861,752712,839843,841800,639582,586102,572716,528364,624427,576911,433133,563001,466630,729180,971537,707508
2016,776811,771154,1025150,831228,769046,696425,786097,736769,883370,700967,603518,625403,518246,648026,629467,486046,562636,601859,762921,1049649,745214
2017,811670,823461,1080904,879508,849155,707495,795624,755648,1014464,653494,621736,614176,565062,638422,648324,519259,586240,503857,777924,953074,736330
2018,811359,820520,1082626,901666,865525,717367,793253,721622,945759,640257,596383,592938,556969,629287,645897,534302,613314,541139,748209,956393,713443
2019,829199,810975,1152501,853095,894519,714445,842428,771019,1006874,639221,628479,606254,602116,586853,632721,525790,603636,589135,779555,1018975,753030
2020,815100,791454,1109351,878957,867844,711289,805946,754386,1036565,679104,602152,631895,624843,597640,670799,510527,602175,582716,716855,955542,745830
2021,815442,814953,1066065,862861,868111,709486,799016,771878,1069700,694248,654340,618074,612098,599390,646958,577370,603532,498437,725102,1000176,759841
2022,834537,834596,1096896,888147,896252,726637,849073,763549,972903,679660,642328,665174,609404,571503,694855,564660,570809,538430,728266,1058294,731351
2023,861305,856016,1093880,917541,915474,764141,880662,754252,1068366,761671,680613,622161,637551,593937,707406,614099,608421,608998,776450,1082394,878567
2024,888699,909382,1136637,922775,973022,776782,878620,772616,1130910,790033,680430,600709,671112,667369,731275,561103,630082,537812,723538,1094975,928867
