行政區代碼,縣市,鄉鎮市區,統計年度,平均每戶消費支出_元,資料層級
09007010,連江縣,南竿鄉,2024,,縣市退回值
09007020,連江縣,北竿鄉,2024,,縣市退回值
09007030,連江縣,莒光鄉,2024,,縣市退回值
09007040,連江縣,東引鄉,2024,,縣市退回值
09020010,金門縣,金城鎮,2024,,縣市退回值
09020020,金門縣,金沙鎮,2024,,縣市退回值
09020030,金門縣,金湖鎮,2024,,縣市退回值
09020040,金門縣,金寧鄉,2024,,縣市退回值
09020050,金門縣,烈嶼鄉,2024,,縣市退回值
09020060,金門縣,烏坵鄉,2024,,縣市退回值
10002010,宜蘭縣,宜蘭市,2024,772616,縣市退回值
10002020,宜蘭縣,羅東鎮,2024,772616,縣市退回值
10002030,宜蘭縣,蘇澳鎮,2024,772616,縣市退回值
10002040,宜蘭縣,頭城鎮,2024,772616,縣市退回值
10002050,宜蘭縣,礁溪鄉,2024,772616,縣市退回值
10002060,宜蘭縣,壯圍鄉,2024,772616,縣市退回值
10002070,宜蘭縣,員山鄉,2024,772616,縣市退回值
10002080,宜蘭縣,冬山鄉,2024,772616,縣市退回值
10002090,宜蘭縣,五結鄉,2024,772616,縣市退回值
10002100,宜蘭縣,三星鄉,2024,772616,縣市退回值
10002110,宜蘭縣,大同鄉,2024,772616,縣市退回值
10002120,宜蘭縣,南澳鄉,2024,772616,縣市退回值
10004010,新竹縣,竹北市,2024,1130910,縣市退回值
10004020,新竹縣,竹東鎮,2024,1130910,縣市退回值
10004030,新竹縣,新埔鎮,2024,1130910,縣市退回值
10004040,新竹縣,關西鎮,2024,1130910,縣市退回值
10004050,新竹縣,湖口鄉,2024,1130910,縣市退回值
10004060,新竹縣,新豐鄉,2024,1130910,縣市退回值
10004070,新竹縣,芎林鄉,2024,1130910,縣市退回值
10004080,新竹縣,橫山鄉,2024,1130910,縣市退回值
10004090,新竹縣,北埔鄉,2024,1130910,縣市退回值
10004100,新竹縣,寶山鄉,2024,1130910,縣市退回值
10004110,新竹縣,峨眉鄉,2024,1130910,縣市退回值
10004120,新竹縣,尖石鄉,2024,1130910,縣市退回值
10004130,新竹縣,五峰鄉,2024,1130910,縣市退回值
10005010,苗栗縣,苗栗市,2024,790033,縣市退回值
10005020,苗栗縣,苑裡鎮,2024,790033,縣市退回值
10005030,苗栗縣,通霄鎮,2024,790033,縣市退回值
10005040,苗栗縣,竹南鎮,2024,790033,縣市退回值
10005050,苗栗縣,頭份市,2024,790033,縣市退回值
10005060,苗栗縣,後龍鎮,2024,790033,縣市退回值
10005070,苗栗縣,卓蘭鎮,2024,790033,縣市退回值
10005080,苗栗縣,大湖鄉,2024,790033,縣市退回值
