行政區代碼,縣市,鄉鎮市區,統計年度,納稅單位(戶),綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
63000010,臺北市,松山區,112,69735,108655620,1558,758,330,1677,30310.73,1945.34
63000030,臺北市,大安區,112,105270,174060637,1653,828,346,1884,3808.90,230.36
63000050,臺北市,中正區,112,51918,76495104,1473,778,334,1717,3592.45,243.82
63000070,臺北市,萬華區,112,54408,47451398,872,518,246,1045,1278.83,146.63
63000060,臺北市,大同區,112,41641,43459546,1044,587,271,1229,1634.42,156.60
63000040,臺北市,中山區,112,80695,108714807,1347,679,299,1477,3760.73,279.15
63000080,臺北市,文山區,112,90343,106308594,1177,663,299,1422,1882.80,160.00
63000090,臺北市,南港區,112,40036,45783427,1144,613,285,1300,2157.61,188.68
63000100,臺北市,內湖區,112,99517,131178685,1318,707,321,1536,2515.25,190.82
63000110,臺北市,士林區,112,91645,110009498,1200,621,285,1332,3284.65,273.63
63000120,臺北市,北投區,112,82195,92797801,1129,622,284,1323,1808.09,160.15
63000020,臺北市,信義區,112,73634,90393951,1228,642,294,1370,2941.36,239.60
64000010,高雄市,鹽埕區,112,6352,4900229,771,469,220,911,1083.61,140.46
64000020,高雄市,鼓山區,112,42435,45152871,1064,603,270,1246,2198.57,206.62
64000030,高雄市,左營區,112,61248,56864401,928,579,273,1135,1275.09,137.34
64000040,高雄市,楠梓區,112,59305,46111116,778,545,273,985,949.19,122.08
64000050,高雄市,三民區,112,99842,82938937,831,533,251,1036,1069.00,128.69
64000060,高雄市,新興區,112,15639,15531888,993,565,253,1155,1526.76,153.73
64000070,高雄市,前金區,112,9059,9066391,1001,573,252,1142,1781.23,177.98
64000080,高雄市,苓雅區,112,49928,44767980,897,545,250,1080,1289.25,143.79
64000090,高雄市,前鎮區,112,52125,41609789,798,509,245,985,1081.66,135.50
64000100,高雄市,旗津區,112,5617,3161926,563,403,201,708,640.43,113.77
64000110,高雄市,小港區,112,45256,32465551,717,503,250,932,767.93,107.05
64000120,高雄市,鳳山區,112,102096,76294170,747,507,245,954,865.41,115.81
64000180,高雄市,鳥松區,112,14044,14775319,1052,592,271,1192,1713.19,162.84
64000170,高雄市,仁武區,112,29274,22775501,778,529,258,984,933.65,120.00
64000160,高雄市,大社區,112,9250,6126286,662,458,229,821,784.82,118.50
64000150,高雄市,大樹區,112,9538,5623308,590,428,218,736,709.69,120.37
64000140,高雄市,大寮區,112,28844,17598922,610,431,221,769,813.94,133.40
64000130,高雄市,林園區,112,17476,10748491,615,458,228,810,613.06,99.68
64000190,高雄市,岡山區,112,28729,20186834,703,472,237,863,928.67,132.16
64000260,高雄市,茄萣區,112,6732,3858188,573,388,207,691,651.90,113.75
64000270,高雄市,永安區,112,3726,2236077,600,414,220,759,643.18,107.17
64000200,高雄市,橋頭區,112,13420,10218427,761,523,269,957,871.54,114.46
64000290,高雄市,梓官區,112,9077,5477751,603,438,226,766,638.68,105.83
64000220,高雄市,田寮區,112,1212,660299,545,380,204,670,604.80,111.01
64000230,高雄市,阿蓮區,112,6854,4353121,635,414,220,751,903.00,142.18
64000240,高雄市,路竹區,112,14073,9958485,708,464,245,839,977.55,138.14
64000210,高雄市,燕巢區,112,7155,4441815,621,432,224,762,750.87,120.95
64000280,高雄市,彌陀區,112,4355,2500134,574,403,209,698,685.60,119.43
64000250,高雄市,湖內區,112,8161,5124662,628,424,219,770,771.00,122.78
64000300,高雄市,旗山區,112,7098,4281298,603,423,219,757,679.71,112.69
64000320,高雄市,六龜區,112,1557,877023,563,401,204,677,770.17,136.73
64000350,高雄市,內門區,112,2111,1082825,513,376,191,642,562.72,109.70
64000310,高雄市,美濃區,112,7348,4517921,615,431,222,779,663.59,107.93
64000340,高雄市,杉林區,112,1576,806532,512,372,194,632,612.61,119.71
64000330,高雄市,甲仙區,112,826,445216,539,394,196,672,560.60,104.01
64000360,高雄市,茂林區,112,342,199275,583,465,221,735,728.62,125.05
64000370,高雄市,桃源區,112,596,327635,550,457,267,690,462.08,84.06
64000380,高雄市,那瑪夏區,112,438,254400,581,482,265,750,491.26,84.58
66000010,臺中市,中區,112,4206,3423970,814,457,205,962,1427.39,175.34
66000020,臺中市,東區,112,22782,17212732,756,472,218,949,964.14,127.61
66000040,臺中市,西區,112,36126,38135798,1056,572,254,1204,3678.10,348.43
66000030,臺中市,南區,112,41277,35055800,849,540,252,1080,1055.79,124.32
66000050,臺中市,北區,112,43537,38405148,882,506,229,1037,1388.72,157.43
66000060,臺中市,西屯區,112,76144,86333923,1134,607,274,1301,2040.21,179.94
66000070,臺中市,南屯區,112,59914,67002419,1118,635,286,1325,1975.95,176.69
66000080,臺中市,北屯區,112,95152,87684050,922,560,258,1121,1320.56,143.30
66000090,臺中市,豐原區,112,48512,35238943,726,446,214,870,981.83,135.16
66000100,臺中市,東勢區,112,11250,6845479,608,409,197,744,714.35,117.40
66000110,臺中市,大甲區,112,20692,14412528,697,438,221,824,1269.48,182.26
66000120,臺中市,清水區,112,25682,17938450,698,461,228,861,894.89,128.12
66000130,臺中市,沙鹿區,112,28555,23370722,818,524,258,1012,1034.65,126.42
66000140,臺中市,梧棲區,112,17899,12900500,721,486,240,902,876.18,121.57
66000160,臺中市,神岡區,112,18516,11968691,646,414,210,775,864.60,133.76
66000150,臺中市,后里區,112,14021,9058031,646,435,217,806,734.61,113.71
66000180,臺中市,大雅區,112,27717,20461170,738,458,227,875,1006.63,136.36
66000170,臺中市,潭子區,112,32597,22628950,694,451,218,845,877.04,126.34
66000190,臺中市,新社區,112,4608,2669907,579,394,190,703,714.77,123.36
66000200,臺中市,石岡區,112,3616,2177831,602,408,206,731,709.39,117.79
66000210,臺中市,外埔區,112,8180,5159676,631,433,221,786,717.84,113.80
66000220,臺中市,大安區,112,4481,2650443,591,391,203,711,731.65,123.70
66000230,臺中市,烏日區,112,23835,18672791,783,497,237,954,1210.80,154.55
66000240,臺中市,大肚區,112,15909,10239990,644,443,225,796,765.07,118.86
66000250,臺中市,龍井區,112,23182,16494045,712,463,231,882,929.28,130.61
66000260,臺中市,霧峰區,112,16671,10776218,646,415,204,772,1308.51,202.43
66000270,臺中市,太平區,112,53139,35944243,676,441,215,838,834.01,123.30
66000280,臺中市,大里區,112,60268,41684596,692,446,212,853,893.48,129.18
66000290,臺中市,和平區,112,1773,1004733,567,398,190,709,625.82,110.43
10017010,基隆市,中正區,112,14939,9962436,667,446,227,834,856.54,128.44
10017020,基隆市,七堵區,112,16795,11376926,677,446,232,832,798.31,117.85
10017030,基隆市,暖暖區,112,12323,8551645,694,462,238,856,835.53,120.40
10017040,基隆市,仁愛區,112,11503,8425561,732,482,232,931,842.57,115.03
10017050,基隆市,中山區,112,13675,8793937,643,442,233,794,740.41,115.14
10017060,基隆市,安樂區,112,26284,20158235,767,497,248,949,1610.86,210.04
10017070,基隆市,信義區,112,17417,12736397,731,483,239,927,890.32,121.75
67000320,臺南市,東區,112,56119,58524801,1043,586,273,1218,1660.75,159.25
67000330,臺南市,南區,112,33581,24329737,725,460,230,874,957.08,132.10
67000340,臺南市,北區,112,38250,37247751,974,546,255,1138,1469.55,150.91
67000350,臺南市,安南區,112,53874,42083734,781,489,245,934,978.60,125.28
67000360,臺南市,安平區,112,21058,19666285,934,539,257,1087,1391.03,148.95
67000370,臺南市,中西區,112,22509,23203776,1031,563,255,1187,1647.67,159.83
67000010,臺南市,新營區,112,22702,18091941,797,529,264,1001,958.94,120.33
67000020,臺南市,鹽水區,112,5978,3809439,637,446,236,769,806.66,126.59
67000030,臺南市,白河區,112,5119,3195968,624,435,221,770,878.71,140.74
67000040,臺南市,柳營區,112,5224,3507556,671,455,240,830,825.64,122.97
67000050,臺南市,後壁區,112,4987,3211960,644,463,239,824,681.13,105.75
67000060,臺南市,東山區,112,3592,2112319,588,422,220,739,646.71,109.97
67000070,臺南市,麻豆區,112,11867,9090396,766,497,255,918,953.67,124.50
67000080,臺南市,下營區,112,5279,3401658,644,453,236,821,685.49,106.38
67000090,臺南市,六甲區,112,5394,3528692,654,454,245,801,802.09,122.61
67000100,臺南市,官田區,112,5696,3730215,655,461,255,817,732.38,111.83
67000110,臺南市,大內區,112,1729,984567,569,407,225,694,662.07,116.27
67000120,臺南市,佳里區,112,15905,11566574,727,481,249,899,924.70,127.15
67000140,臺南市,西港區,112,6288,4246969,675,457,239,810,838.90,124.21
67000150,臺南市,七股區,112,3971,2312225,582,391,198,697,744.43,127.85
67000160,臺南市,將軍區,112,3532,1980863,561,409,219,683,612.38,109.19
67000170,臺南市,北門區,112,1786,1047413,586,423,222,721,617.69,105.33
67000130,臺南市,學甲區,112,6249,4014726,642,447,232,782,789.07,122.82
67000180,臺南市,新化區,112,11246,7937536,706,461,237,863,852.40,120.77
67000190,臺南市,善化區,112,15785,19560524,1239,675,326,1499,1818.20,146.73
67000200,臺南市,新市區,112,11518,10187680,885,545,279,1067,1085.09,122.68
67000210,臺南市,安定區,112,7637,5739712,752,491,252,910,892.41,118.74
67000220,臺南市,山上區,112,1747,1045247,598,415,236,731,678.09,113.33
67000230,臺南市,玉井區,112,2548,1578473,619,421,219,763,711.41,114.84
67000240,臺南市,楠西區,112,1409,774942,550,408,216,679,595.17,108.21
67000250,臺南市,南化區,112,1422,831325,585,416,232,729,616.68,105.48
67000260,臺南市,左鎮區,112,706,375002,531,381,188,653,545.38,102.68
67000270,臺南市,仁德區,112,22318,17002916,762,499,250,936,985.28,129.33
67000280,臺南市,歸仁區,112,19103,14019315,734,490,254,892,929.24,126.62
67000290,臺南市,關廟區,112,8445,5249705,622,434,228,754,740.26,119.08
67000300,臺南市,龍崎區,112,594,350281,590,378,219,673,754.89,128.01
67000310,臺南市,永康區,112,69122,58905157,852,521,261,1012,1489.42,174.78
10020010,嘉義市,東區,112,33772,28219471,836,524,246,1026,1095.09,131.06
10020020,嘉義市,西區,112,38963,29838409,766,499,240,969,920.16,120.15
10018010,新竹市,東區,112,71808,141648003,1973,936,373,2439,3651.83,185.13
10018020,新竹市,北區,112,49312,56000585,1136,613,281,1313,1853.54,163.22
10018030,新竹市,香山區,112,25239,25401498,1006,576,277,1184,1424.90,141.58
65000050,新北市,新莊區,112,136758,114814547,840,510,252,1021,1109.70,132.18
65000170,新北市,林口區,112,43876,54219075,1236,698,314,1528,1947.43,157.59
65000150,新北市,五股區,112,29227,20410199,698,457,228,856,992.58,142.13
65000140,新北市,蘆洲區,112,61370,47188613,769,477,240,931,1054.84,137.18
65000020,新北市,三重區,112,119544,95461457,799,489,242,970,1132.51,141.82
65000160,新北市,泰山區,112,24423,19715695,807,515,252,1027,978.81,121.25
65000060,新北市,新店區,112,103806,105760891,1019,565,266,1177,1823.18,178.95
65000190,新北市,石碇區,112,1762,1063084,603,387,211,731,735.24,121.86
65000180,新北市,深坑區,112,7545,5674361,752,463,237,875,1484.69,197.41
65000200,新北市,坪林區,112,1518,958152,631,412,220,709,994.87,157.62
65000290,新北市,烏來區,112,1394,922556,662,451,233,826,760.55,114.92
65000010,新北市,板橋區,112,175295,163225709,931,556,266,1126,1434.94,154.10
65000090,新北市,三峽區,112,33192,26304875,793,487,233,966,1060.34,133.80
