年,縣市,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
87,南投縣,0,15,,,,,,,,,,,,,,,506247,
87,嘉義市,0,11,,,,,,,,,,,,,,,615946,
87,嘉義縣,0,7,,,,,,,,,,,,,,,447043,
87,基隆市,0,9,,,,,,,,,,,,,,,639052,
87,宜蘭縣,0,16,,,,,,,,,,,,,,,622369,
87,屏東縣,0,23,,,,,,,,,,,,,,,508399,
87,彰化縣,2,35,,,,,,,,,,,,,,,556873,
87,新北市,2,66,,,,,,,,,,,,,,,681707,
87,新竹市,0,14,,,,,,,,,,,,,,,718282,
87,新竹縣,0,10,,,,,,,,,,,,,,,625471,
87,桃園市,4,50,,,,,,,,,,,,,,,653989,
87,澎湖縣,0,2,,,,,,,,,,,,,,,397552,
87,臺中市,1,83,,,,,,,,,,,,,,,651665,
87,臺北市,6,119,,,,,,,,,,,,,,,908137,
87,臺南市,0,48,,,,,,,,,,,,,,,550060,
87,臺東縣,0,11,,,,,,,,,,,,,,,401379,
87,花蓮縣,0,11,,,,,,,,,,,,,,,573757,
87,苗栗縣,1,17,,,,,,,,,,,,,,,578424,
87,連江縣,0,0,,,,,,,,,,,,,,,,
87,金門縣,0,2,,,,,,,,,,,,,,,,
87,雲林縣,1,14,,,,,,,,,,,,,,,459407,
87,高雄市,3,76,,,,,,,,,,,,,,,607873,
88,南投縣,0,15,,,,,,,,,,,,,,,531000,
88,嘉義市,0,11,,,,,,,,,,,,,,,577328,
88,嘉義縣,0,7,,,,,,,,,,,,,,,484947,
88,基隆市,0,9,,,,,,,,,,,,,,,639150,
88,宜蘭縣,0,16,,,,,,,,,,,,,,,614020,
88,屏東縣,0,23,,,,,,,,,,,,,,,499116,
88,彰化縣,0,35,,,,,,,,,,,,,,,512199,
88,新北市,5,71,,,,,,,,,,,,,,,702709,
88,新竹市,0,14,,,,,,,,,,,,,,,738726,
88,新竹縣,0,10,,,,,,,,,,,,,,,631867,
88,桃園市,2,52,,,,,,,,,,,,,,,669567,
88,澎湖縣,0,2,,,,,,,,,,,,,,,408405,
88,臺中市,5,88,,,,,,,,,,,,,,,661184,
88,臺北市,8,127,,,,,,,,,,,,,,,931758,
88,臺南市,2,50,,,,,,,,,,,,,,,539802,
88,臺東縣,2,13,,,,,,,,,,,,,,,444314,
88,花蓮縣,1,12,,,,,,,,,,,,,,,546797,
88,苗栗縣,1,18,,,,,,,,,,,,,,,585753,
88,連江縣,0,0,,,,,,,,,,,,,,,,
88,金門縣,1,3,,,,,,,,,,,,,,,,
88,雲林縣,0,14,,,,,,,,,,,,,,,497392,
88,高雄市,3,79,,,,,,,,,,,,,,,614883,
89,南投縣,1,16,,,,,,,,,,,,,,,557775,
89,嘉義市,2,13,,,,,,,,,,,,,,,619154,
89,嘉義縣,0,7,,,,,,,,,,,,,,,541707,
89,基隆市,0,9,,,,,,,,,,,,,,,640137,
89,宜蘭縣,0,16,,,,,,,,,,,,,,,564530,
89,屏東縣,1,24,,,,,,,,,,,,,,,524732,
89,彰化縣,1,36,,,,,,,,,,,,,,,548241,
89,新北市,2,73,,,,,,,,,,,,,,,688385,
89,新竹市,0,14,,,,,,,,,,,,,,,799936,
89,新竹縣,2,12,,,,,,,,,,,,,,,669806,
89,桃園市,1,53,,,,,,,,,,,,,,,710859,
89,澎湖縣,0,2,,,,,,,,,,,,,,,428628,
89,臺中市,2,90,,,,,,,,,,,,,,,636780,
89,臺北市,10,137,,,,,,,,,,,,,,,972707,
89,臺南市,3,53,,,,,,,,,,,,,,,563150,
89,臺東縣,0,13,,,,,,,,,,,,,,,440341,
89,花蓮縣,0,12,,,,,,,,,,,,,,,598494,
89,苗栗縣,0,18,,,,,,,,,,,,,,,562446,
89,連江縣,0,0,,,,,,,,,,,,,,,,
89,金門縣,0,3,,,,,,,,,,,,,,,,
89,雲林縣,0,14,,,,,,,,,,,,,,,460321,
89,高雄市,3,82,,,,,,,,,,,,,,,590730,
90,南投縣,1,17,,,,,,,,,,,,,,,498200,
90,嘉義市,0,13,,,,,,,,,,,,,,,634707,
90,嘉義縣,0,7,,,,,,,,,,,,,,,502445,
90,基隆市,0,9,,,,,,,,,,,,,,,641952,
90,宜蘭縣,1,17,,,,,,,,,,,,,,,547440,
90,屏東縣,0,24,,,,,,,,,,,,,,,500335,
90,彰化縣,2,38,,,,,,,,,,,,,,,522152,
90,新北市,2,75,,,,,,,,,,,,,,,693068,
90,新竹市,0,14,,,,,,,,,,,,,,,850319,
90,新竹縣,0,12,,,,,,,,,,,,,,,643622,
90,桃園市,5,58,,,,,,,,,,,,,,,693702,
90,澎湖縣,0,2,,,,,,,,,,,,,,,390512,
90,臺中市,4,94,,,,,,,,,,,,,,,661721,
90,臺北市,7,144,,,,,,,,,,,,,,,955897,
90,臺南市,4,57,,,,,,,,,,,,,,,552940,
