年,縣市,鄉鎮市區,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,0_14歲人口,15_64歲人口,40_64歲人口,65歲以上人口,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,40_64歲占比,65歲以上占比,老化指數,扶養比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
87,南投縣,中寮鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,仁愛鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,信義鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,南投市,0,3,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,名間鄉,0,1,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,國姓鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,埔里鎮,0,3,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,水里鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,竹山鎮,0,2,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,草屯鎮,0,6,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,集集鎮,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,魚池鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,南投縣,鹿谷鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,506247,
87,嘉義市,東區,0,5,,,,,,,,,,,,,,,,,,,,,,,615946,
87,嘉義市,西區,0,6,,,,,,,,,,,,,,,,,,,,,,,615946,
87,嘉義縣,中埔鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,六腳鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,大埔鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,大林鎮,0,2,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,太保市,0,1,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,布袋鎮,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,新港鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,朴子市,0,2,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,東石鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,梅山鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,民雄鄉,0,2,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,水上鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,溪口鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,番路鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,竹崎鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,義竹鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,阿里山鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,嘉義縣,鹿草鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,447043,
87,基隆市,七堵區,0,1,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,中山區,0,0,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,中正區,0,3,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,仁愛區,0,3,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,信義區,0,2,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,安樂區,0,0,,,,,,,,,,,,,,,,,,,,,,,639052,
87,基隆市,暖暖區,0,0,,,,,,,,,,,,,,,,,,,,,,,639052,
87,宜蘭縣,三星鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,五結鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,冬山鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,南澳鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,員山鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,壯圍鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,大同鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,宜蘭市,0,9,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,礁溪鄉,0,1,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,羅東鎮,0,5,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,蘇澳鎮,0,1,,,,,,,,,,,,,,,,,,,,,,,622369,
87,宜蘭縣,頭城鎮,0,0,,,,,,,,,,,,,,,,,,,,,,,622369,
87,屏東縣,三地門鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,九如鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,佳冬鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,來義鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,內埔鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,南州鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,屏東市,0,10,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,崁頂鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,恆春鎮,0,1,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,新園鄉,0,1,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,新埤鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,春日鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,東港鎮,0,3,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,枋寮鄉,0,2,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,枋山鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
87,屏東縣,林邊鄉,0,0,,,,,,,,,,,,,,,,,,,,,,,508399,
