縣市,鄉鎮市區,統計年月,戶數,人口數,男,女,age_00_04_m,age_00_04_f,age_00_04_total,age_05_09_m,age_05_09_f,age_05_09_total,age_10_14_m,age_10_14_f,age_10_14_total,age_15_19_m,age_15_19_f,age_15_19_total,age_20_24_m,age_20_24_f,age_20_24_total,age_25_29_m,age_25_29_f,age_25_29_total,age_30_34_m,age_30_34_f,age_30_34_total,age_35_39_m,age_35_39_f,age_35_39_total,age_40_44_m,age_40_44_f,age_40_44_total,age_45_49_m,age_45_49_f,age_45_49_total,age_50_54_m,age_50_54_f,age_50_54_total,age_55_59_m,age_55_59_f,age_55_59_total,age_60_64_m,age_60_64_f,age_60_64_total,age_65_69_m,age_65_69_f,age_65_69_total,age_70_74_m,age_70_74_f,age_70_74_total,age_75_79_m,age_75_79_f,age_75_79_total,age_80_84_m,age_80_84_f,age_80_84_total,age_85_89_m,age_85_89_f,age_85_89_total,age_90_94_m,age_90_94_f,age_90_94_total,age_95_99_m,age_95_99_f,age_95_99_total,age_100up_m,age_100up_f,age_100up_total,0_14歲人口,15_64歲人口,40_64歲人口,65歲以上人口,40_64歲占比,65歲以上占比,老化指數,扶幼比,扶老比,扶養比
南投縣,中寮鄉,11506,5622,12744,6959,5785,81,91,172,135,113,248,188,151,339,183,172,355,310,268,578,437,358,795,417,297,714,374,285,659,442,380,822,465,405,870,483,436,919,707,516,1223,809,555,1364,664,456,1120,502,402,904,328,302,630,184,247,431,172,199,371,67,109,176,11,39,50,0,4,4,759,8299,5198,3686,40.79,28.92,485.6,9.1,44.4,53.6
南投縣,仁愛鄉,11506,4953,15200,7818,7382,372,322,694,379,354,733,362,315,677,463,391,854,525,517,1042,568,517,1085,643,552,1195,521,431,952,569,478,1047,606,547,1153,538,497,1035,558,540,1098,599,623,1222,472,524,996,350,352,702,163,199,362,69,117,186,39,76,115,16,26,42,3,2,5,3,2,5,2104,10683,5555,2413,36.55,15.88,114.7,19.7,22.6,42.3
南投縣,信義鄉,11506,5243,14806,7893,6913,303,309,612,345,335,680,335,303,638,388,349,737,472,406,878,586,520,1106,673,562,1235,628,447,1075,622,482,1104,537,505,1042,500,434,934,603,480,1083,626,543,1169,560,415,975,353,339,692,174,183,357,101,129,230,60,111,171,21,47,68,4,11,15,2,3,5,1930,10363,5332,2513,36.01,16.97,130.2,18.6,24.2,42.9
南投縣,南投市,11506,38499,95723,47498,48225,1158,1114,2272,1906,1858,3764,2553,2379,4932,2155,1887,4042,2560,2245,4805,3168,2883,6051,3539,3076,6615,3411,2937,6348,3716,3529,7245,3766,3687,7453,3152,3372,6524,3406,3744,7150,3548,4015,7563,3361,3727,7088,2685,3007,5692,1662,1989,3651,835,1256,2091,604,954,1558,234,451,685,63,96,159,16,19,35,10968,63796,35935,20959,37.54,21.9,191.1,17.2,32.9,50.0
南投縣,名間鄉,11506,13574,34226,18008,16218,306,302,608,496,425,921,562,427,989,652,579,1231,954,878,1832,1280,1089,2369,1276,1062,2338,1127,863,1990,1273,1041,2314,1364,1238,2602,1363,1183,2546,1553,1352,2905,1677,1415,3092,1455,1208,2663,1081,1070,2151,666,828,1494,425,531,956,342,446,788,127,222,349,26,54,80,3,5,8,2518,23219,13459,8489,39.32,24.8,337.1,10.8,36.6,47.4
南投縣,國姓鄉,11506,7059,15794,8531,7263,101,92,193,176,172,348,191,163,354,223,233,456,437,364,801,520,406,926,580,432,1012,546,362,908,518,421,939,610,509,1119,659,562,1221,897,614,1511,950,708,1658,765,610,1375,571,539,1110,336,390,726,221,294,515,158,245,403,52,102,154,18,37,55,2,8,10,895,10551,6448,4348,40.83,27.53,485.8,8.5,41.2,49.7
南投縣,埔里鎮,11506,31071,75761,37329,38432,988,905,1893,1374,1300,2674,1672,1611,3283,1534,1504,3038,1942,1809,3751,2680,2411,5091,2650,2290,4940,2437,2191,4628,2644,2559,5203,2842,3005,5847,2576,2839,5415,2853,3084,5937,3110,3321,6431,2771,3035,5806,2276,2711,4987,1467,1644,3111,772,1041,1813,498,733,1231,185,345,530,54,84,138,4,10,14,7850,50281,28833,17630,38.06,23.27,224.6,15.6,35.1,50.7
南投縣,水里鄉,11506,7126,15316,8003,7313,126,118,244,250,209,459,233,260,493,245,238,483,369,365,734,473,404,877,516,404,920,468,385,853,579,476,1055,609,473,1082,564,446,1010,724,564,1288,730,632,1362,716,701,1417,608,548,1156,346,420,766,231,287,518,138,234,372,62,112,174,14,33,47,2,4,6,1196,9664,5797,4456,37.85,29.09,372.6,12.4,46.1,58.5
南投縣,竹山鎮,11506,21078,49633,25231,24402,499,472,971,793,751,1544,1000,929,1929,919,965,1884,1338,1220,2558,1699,1530,3229,1718,1365,3083,1620,1307,2927,1844,1753,3597,2049,1923,3972,1868,1714,3582,2077,1948,4025,2143,2002,4145,1876,1855,3731,1571,1688,3259,1071,1253,2324,563,779,1342,407,616,1023,140,245,385,34,75,109,2,12,14,4444,33002,19321,12187,38.93,24.55,274.2,13.5,36.9,50.4
南投縣,草屯鎮,11506,38194,98148,48796,49352,1857,1726,3583,1986,1791,3777,2138,1868,4006,2067,1913,3980,2563,2391,4954,3326,3090,6416,3719,3504,7223,3475,3189,6664,3705,3528,7233,3888,3979,7867,3237,3524,6761,3561,3801,7362,3670,3911,7581,3331,3685,7016,2866,2971,5837,1636,1911,3547,903,1108,2011,599,954,1553,220,390,610,47,108,155,2,10,12,11366,66041,36804,20741,37.5,21.13,182.5,17.2,31.4,48.6
南投縣,集集鎮,11506,4455,10375,5351,5024,144,117,261,167,130,297,158,159,317,181,170,351,264,240,504,379,373,752,383,349,732,306,278,584,363,325,688,350,368,718,372,390,762,534,392,926,507,430,937,441,347,788,301,285,586,214,229,443,127,179,306,99,173,272,46,73,119,15,15,30,0,2,2,875,6954,4031,2546,38.85,24.54,291.0,12.6,36.6,49.2
南投縣,魚池鄉,11506,5743,13998,7326,6672,147,102,249,202,176,378,193,178,371,261,219,480,351,339,690,497,431,928,474,407,881,452,372,824,474,443,917,532,496,1028,573,513,1086,639,527,1166,678,598,1276,638,526,1164,532,461,993,319,318,637,168,236,404,125,217,342,59,84,143,11,25,36,1,4,5,998,9276,5473,3724,39.1,26.6,373.1,10.8,40.1,50.9
