行政區代碼,縣市,鄉鎮市區,109年底人口,114年底人口,近5年人口成長率_百分比,統計基準人口_11506,遷入人數_近12月,遷出人數_近12月,淨遷入人數_近12月,淨遷入率_千分比,出生數_近12月,死亡數_近12月,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比
09007010,連江縣,南竿鄉,7638,7629,-0.12,7635,597,577,20,2.62,36,43,4.72,5.63,-0.92
09007020,連江縣,北竿鄉,2717,2930,7.84,2878,250,316,-66,-22.93,14,13,4.86,4.52,0.35
09007030,連江縣,莒光鄉,1489,1537,3.22,1583,164,110,54,34.11,4,8,2.53,5.05,-2.53
09007040,連江縣,東引鄉,1435,1525,6.27,1547,166,127,39,25.21,7,6,4.52,3.88,0.65
09020010,金門縣,金城鎮,43000,40998,-4.66,40419,1423,2135,-712,-17.62,151,293,3.74,7.25,-3.51
09020020,金門縣,金沙鎮,20732,19840,-4.3,19674,647,921,-274,-13.93,50,158,2.54,8.03,-5.49
09020030,金門縣,金湖鎮,30400,30545,0.48,30250,1269,1551,-282,-9.32,162,177,5.36,5.85,-0.5
09020040,金門縣,金寧鄉,33070,35287,6.7,34887,2119,2338,-219,-6.28,139,204,3.98,5.85,-1.86
09020050,金門縣,烈嶼鄉,12733,12050,-5.36,11890,379,571,-192,-16.15,29,98,2.44,8.24,-5.8
09020060,金門縣,烏坵鄉,662,593,-10.42,596,21,25,-4,-6.71,2,2,3.36,3.36,0.0
10002010,宜蘭縣,宜蘭市,95395,94561,-0.87,94124,3623,3946,-323,-3.43,272,721,2.89,7.66,-4.77
10002020,宜蘭縣,羅東鎮,71484,68960,-3.53,68482,3054,3665,-611,-8.92,240,517,3.5,7.55,-4.04
10002030,宜蘭縣,蘇澳鎮,38864,36413,-6.31,36274,1099,1200,-101,-2.78,111,422,3.06,11.63,-8.57
10002040,宜蘭縣,頭城鎮,28819,27868,-3.3,27969,1009,908,101,3.61,118,284,4.22,10.15,-5.94
10002050,宜蘭縣,礁溪鄉,35274,36629,3.84,36528,1766,1647,119,3.26,164,352,4.49,9.64,-5.15
10002060,宜蘭縣,壯圍鄉,24366,24479,0.46,24531,1112,953,159,6.48,125,257,5.1,10.48,-5.38
10002070,宜蘭縣,員山鄉,32258,32226,-0.1,32281,1527,1282,245,7.59,128,290,3.97,8.98,-5.02
10002080,宜蘭縣,冬山鄉,53024,52938,-0.16,52787,2329,2283,46,0.87,202,483,3.83,9.15,-5.32
10002090,宜蘭縣,五結鄉,40297,41737,3.57,41766,2057,1928,129,3.09,218,383,5.22,9.17,-3.95
10002100,宜蘭縣,三星鄉,21215,21356,0.66,21474,1197,881,316,14.72,55,247,2.56,11.5,-8.94
10002110,宜蘭縣,大同鄉,6137,5998,-2.26,6047,381,265,116,19.18,61,74,10.09,12.24,-2.15
10002120,宜蘭縣,南澳鄉,5954,6171,3.64,6250,408,255,153,24.48,85,53,13.6,8.48,5.12
10004010,新竹縣,竹北市,200782,220973,10.06,220985,6505,6136,369,1.67,1095,883,4.96,4.0,0.96
10004020,新竹縣,竹東鎮,97100,97894,0.82,97532,2810,3162,-352,-3.61,404,768,4.14,7.87,-3.73
10004030,新竹縣,新埔鎮,33027,33561,1.62,33226,1091,1323,-232,-6.98,114,354,3.43,10.65,-7.22
10004040,新竹縣,關西鎮,27775,26011,-6.35,27403,2167,672,1495,54.56,90,349,3.28,12.74,-9.45
10004050,新竹縣,湖口鄉,78971,84963,7.59,85075,3423,2617,806,9.47,399,608,4.69,7.15,-2.46
10004060,新竹縣,新豐鄉,57511,59839,4.05,60066,2388,1932,456,7.59,163,393,2.71,6.54,-3.83
10004070,新竹縣,芎林鄉,19872,20385,2.58,20353,719,727,-8,-0.39,78,166,3.83,8.16,-4.32
10004080,新竹縣,橫山鄉,12547,11901,-5.15,11937,474,308,166,13.91,45,173,3.77,14.49,-10.72
10004090,新竹縣,北埔鄉,9035,8289,-8.26,8230,225,266,-41,-4.98,38,115,4.62,13.97,-9.36
10004100,新竹縣,寶山鄉,14619,14588,-0.21,14567,692,649,43,2.95,80,108,5.49,7.41,-1.92
10004110,新竹縣,峨眉鄉,5403,4970,-8.01,4945,167,144,23,4.65,9,80,1.82,16.18,-14.36
10004120,新竹縣,尖石鄉,9646,9464,-1.89,9522,539,404,135,14.18,101,100,10.61,10.5,0.11
10004130,新竹縣,五峰鄉,4487,4397,-2.01,4419,277,208,69,15.61,31,68,7.02,15.39,-8.37
10005010,苗栗縣,苗栗市,87671,85838,-2.09,85450,2274,2329,-55,-0.64,289,811,3.38,9.49,-6.11
10005020,苗栗縣,苑裡鎮,44562,43237,-2.97,42946,1088,1219,-131,-3.05,130,471,3.03,10.97,-7.94
10005030,苗栗縣,通霄鎮,33061,30618,-7.39,30492,705,756,-51,-1.67,187,383,6.13,12.56,-6.43
10005040,苗栗縣,竹南鎮,87190,91538,4.99,91553,3179,2558,621,6.78,374,649,4.09,7.09,-3.0
10005050,苗栗縣,頭份市,104441,108231,3.63,108234,3427,3117,310,2.86,499,784,4.61,7.24,-2.63
10005060,苗栗縣,後龍鎮,35221,33531,-4.8,33419,918,903,15,0.45,116,389,3.47,11.64,-8.17
10005070,苗栗縣,卓蘭鎮,16196,14483,-10.58,14331,282,417,-135,-9.42,55,213,3.84,14.86,-11.03
10005080,苗栗縣,大湖鄉,13884,12310,-11.34,12160,258,392,-134,-11.02,35,182,2.88,14.97,-12.09
10005090,苗栗縣,公館鄉,32397,30461,-5.98,30297,798,915,-117,-3.86,92,324,3.04,10.69,-7.66
