行政區代碼,縣市,鄉鎮市區,統計年月,戶數,人口數,平均戶量,土地面積_km2,人口密度_人每km2,面積密度統計年
09007010,連江縣,南竿鄉,11506,2408,7635,3.171,10.4,733.5576923,114
09007020,連江縣,北竿鄉,11506,962,2878,2.992,9.9,295.959596,114
09007030,連江縣,莒光鄉,11506,379,1583,4.177,4.7,327.0212766,114
09007040,連江縣,東引鄉,11506,380,1547,4.071,3.8,401.3157895,114
09020010,金門縣,金城鎮,11506,13921,40419,2.903,21.713,1888.177589,114
09020020,金門縣,金沙鎮,11506,7018,19674,2.803,41.19,481.6703083,114
09020030,金門縣,金湖鎮,11506,10619,30250,2.849,41.696,732.5642748,114
09020040,金門縣,金寧鄉,11506,11824,34887,2.951,29.854,1181.985664,114
09020050,金門縣,烈嶼鄉,11506,3466,11890,3.43,16.003,752.9838155,114
09020060,金門縣,烏坵鄉,11506,131,596,4.55,1.2,494.1666667,114
10002010,宜蘭縣,宜蘭市,11506,41360,94124,2.276,29.408,3215.485582,114
10002020,宜蘭縣,羅東鎮,11506,28937,68482,2.367,11.3448,6078.555814,114
10002030,宜蘭縣,蘇澳鎮,11506,15258,36274,2.377,89.0196,409.0447497,114
10002040,宜蘭縣,頭城鎮,11506,11629,27969,2.405,100.893,276.2134142,114
10002050,宜蘭縣,礁溪鄉,11506,17858,36528,2.045,101.4278,361.1337326,114
10002060,宜蘭縣,壯圍鄉,11506,10406,24531,2.357,38.4769,636.1999018,114
10002070,宜蘭縣,員山鄉,11506,13742,32281,2.349,111.9106,287.9619982,114
10002080,宜蘭縣,冬山鄉,11506,22530,52787,2.343,79.8573,662.9074612,114
10002090,宜蘭縣,五結鄉,11506,18703,41766,2.233,38.8671,1073.838799,114
10002100,宜蘭縣,三星鄉,11506,10217,21474,2.102,144.2238,148.0754217,114
10002110,宜蘭縣,大同鄉,11506,2099,6047,2.881,657.5442,9.121820252,114
10002120,宜蘭縣,南澳鄉,11506,2203,6250,2.837,740.652,8.331848155,114
10004010,新竹縣,竹北市,11506,90972,220985,2.429,46.8341,4718.20746,114
10004020,新竹縣,竹東鎮,11506,39920,97532,2.443,53.5133,1829.339622,114
10004030,新竹縣,新埔鎮,11506,13830,33226,2.402,72.1911,464.8911015,114
10004040,新竹縣,關西鎮,11506,10032,27403,2.732,125.5193,207.2270958,114
10004050,新竹縣,湖口鄉,11506,35400,85075,2.403,58.4303,1454.091456,114
10004060,新竹縣,新豐鄉,11506,23914,60066,2.512,46.3496,1291.035953,114
10004070,新竹縣,芎林鄉,11506,8302,20353,2.452,40.7858,499.8063051,114
10004080,新竹縣,橫山鄉,11506,4516,11937,2.643,66.3502,179.3664526,114
10004090,新竹縣,北埔鄉,11506,3181,8230,2.587,50.6676,163.5956706,114
10004100,新竹縣,寶山鄉,11506,6675,14567,2.182,64.7871,225.168282,114
10004110,新竹縣,峨眉鄉,11506,2121,4945,2.331,46.801,106.1943121,114
10004120,新竹縣,尖石鄉,11506,3002,9522,3.172,527.5795,17.9385287,114
10004130,新竹縣,五峰鄉,11506,1791,4419,2.467,227.728,19.30812197,114
10005010,苗栗縣,苗栗市,11506,35346,85450,2.418,37.8878,2265.584172,114
10005020,苗栗縣,苑裡鎮,11506,16913,42946,2.539,68.2473,633.5342204,114
10005030,苗栗縣,通霄鎮,11506,11948,30492,2.552,107.8486,283.8979829,114
10005040,苗栗縣,竹南鎮,11506,36979,91553,2.476,37.5592,2437.165861,114
10005050,苗栗縣,頭份市,11506,43800,108234,2.471,53.3205,2029.819675,114
10005060,苗栗縣,後龍鎮,11506,13163,33419,2.539,75.8079,442.3153787,114
10005070,苗栗縣,卓蘭鎮,11506,5773,14331,2.482,76.3153,189.7784586,114
10005080,苗栗縣,大湖鄉,11506,5122,12160,2.374,90.8396,135.5135866,114
