公司,通訊處名稱,地址,縣市,鄉鎮市區,設立日期,比對方式,信心度
凱基人壽保險股份有限公司,宏國,台北市博愛路35號7樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,玉山,台北市博愛路35號6樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,金昱,台北市中正區衡陽路51號14樓,臺北市,中正區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,宏觀,台北市博愛路35號8樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,駿山,台北市博愛路35號11樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,北一直轄二,台北市忠孝東路四段550號9樓,臺北市,信義區,2024-02-29,road_lookup_scope,0.85
凱基人壽保險股份有限公司,洽山,台北市博愛路35號5樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,躍勇,台北市松山區敦化北路122號11樓,臺北市,松山區,2009-06-20,explicit,1.0
凱基人壽保險股份有限公司,昭才,台北市博愛路35號5樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,昇晴,台北市忠孝東路四段550號10樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,大衛,台北市忠孝東路四段550號13樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,創建,台北市忠孝東路四段550號11樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,非凡,台北市忠孝東路四段550號10樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,金典,台北市忠孝東路四段550號11樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,昕立,台北市博愛路35號10樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,泉泰,台北市忠孝東路四段550號13樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,東山,台北市博愛路35號5樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,威力,台北市館前路43號9樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,華山,台北市博愛路35號10樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,鴻山,台北市博愛路35號12樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,敦煌,台北市博愛路35號12樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,豐格,台北市忠孝東路四段550號9樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,誠山,台北市博愛路35號9樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,鴻海,台北市忠孝東路四段550號11樓,臺北市,信義區,2011-01-28,road_lookup_scope,0.85
凱基人壽保險股份有限公司,昊昱,台北市重慶南路一段77號12樓,臺北市,中正區,2011-07-22,road_lookup,0.9
凱基人壽保險股份有限公司,承暘,台北市忠孝東路四段550號9樓,臺北市,信義區,2011-11-16,road_lookup_scope,0.85
凱基人壽保險股份有限公司,臻觀,台北市博愛路35號7樓,臺北市,中正區,2012-09-20,road_lookup,0.9
凱基人壽保險股份有限公司,越鋒,台北市博愛路35號3樓,臺北市,中正區,2009-06-20,road_lookup,0.9
凱基人壽保險股份有限公司,宏運,台北市忠孝東路四段550號9樓,臺北市,信義區,2009-06-20,road_lookup_scope,0.85
凱基人壽保險股份有限公司,應許,台北市中正區衡陽路51號14樓,臺北市,中正區,2015-07-06,explicit,1.0
